"age","code","date","cum.deaths","daily.deaths"
"1-9","TX",2020-09-14,2,0
"10-19","TX",2020-09-14,11,0
"20-29","TX",2020-09-14,120,0
"30-39","TX",2020-09-14,320,1
"40-49","TX",2020-09-14,862,4
"50-59","TX",2020-09-14,1835,8
"60-64","TX",2020-09-14,1494,6
"65-69","TX",2020-09-14,1826,8
"70-74","TX",2020-09-14,2059,8
"75-79","TX",2020-09-14,1953,8
"80+","TX",2020-09-14,5360,21
"0-0","TX",2020-09-15,3,0
"1-9","TX",2020-09-15,2,0
"10-19","TX",2020-09-15,11,0
"20-29","TX",2020-09-15,120,0
"30-39","TX",2020-09-15,321,1
"40-49","TX",2020-09-15,866,4
"50-59","TX",2020-09-15,1844,9
"60-64","TX",2020-09-15,1501,7
"65-69","TX",2020-09-15,1835,9
"70-74","TX",2020-09-15,2068,9
"75-79","TX",2020-09-15,1961,8
"80+","TX",2020-09-15,5382,22
"0-0","TX",2020-09-16,3,0
"1-9","TX",2020-09-16,2,0
"10-19","TX",2020-09-16,11,0
"20-29","TX",2020-09-16,120,0
"30-39","TX",2020-09-16,322,1
"40-49","TX",2020-09-16,871,5
"50-59","TX",2020-09-16,1854,10
"60-64","TX",2020-09-16,1509,8
"65-69","TX",2020-09-16,1845,10
"70-74","TX",2020-09-16,2078,10
"75-79","TX",2020-09-16,1970,9
"80+","TX",2020-09-16,5407,25
"0-0","TX",2020-09-17,3,0
"1-9","TX",2020-09-17,2,0
"10-19","TX",2020-09-17,11,0
"20-29","TX",2020-09-17,120,0
"30-39","TX",2020-09-17,323,1
"40-49","TX",2020-09-17,874,3
"50-59","TX",2020-09-17,1862,8
"60-64","TX",2020-09-17,1515,6
"65-69","TX",2020-09-17,1852,7
"70-74","TX",2020-09-17,2086,8
"75-79","TX",2020-09-17,1977,7
"80+","TX",2020-09-17,5425,18
"0-0","TX",2020-09-18,3,0
"1-9","TX",2020-09-18,2,0
"10-19","TX",2020-09-18,11,0
"20-29","TX",2020-09-18,120,0
"30-39","TX",2020-09-18,324,1
"40-49","TX",2020-09-18,878,4
"50-59","TX",2020-09-18,1870,8
"60-64","TX",2020-09-18,1521,6
"65-69","TX",2020-09-18,1860,8
"70-74","TX",2020-09-18,2094,8
"75-79","TX",2020-09-18,1984,7
"80+","TX",2020-09-18,5445,20
"0-0","TX",2020-09-19,3,0
"1-9","TX",2020-09-19,2,0
"10-19","TX",2020-09-19,11,0
"20-29","TX",2020-09-19,120,0
"30-39","TX",2020-09-19,325,1
"40-49","TX",2020-09-19,882,4
"50-59","TX",2020-09-19,1879,9
"60-64","TX",2020-09-19,1528,7
"65-69","TX",2020-09-19,1868,8
"70-74","TX",2020-09-19,2103,9
"75-79","TX",2020-09-19,1992,8
"80+","TX",2020-09-19,5466,21
"0-0","TX",2020-09-20,3,0
"1-9","TX",2020-09-20,2,0
"10-19","TX",2020-09-20,11,0
"20-29","TX",2020-09-20,120,0
"30-39","TX",2020-09-20,326,1
"40-49","TX",2020-09-20,887,5
"50-59","TX",2020-09-20,1889,10
"60-64","TX",2020-09-20,1535,7
"65-69","TX",2020-09-20,1877,9
"70-74","TX",2020-09-20,2113,10
"75-79","TX",2020-09-20,2001,9
"80+","TX",2020-09-20,5489,23
"0-0","TX",2020-09-21,3,0
"1-9","TX",2020-09-21,2,0
"10-19","TX",2020-09-21,11,0
"20-29","TX",2020-09-21,120,0
"30-39","TX",2020-09-21,327,1
"40-49","TX",2020-09-21,891,4
"50-59","TX",2020-09-21,1899,10
"60-64","TX",2020-09-21,1542,7
"65-69","TX",2020-09-21,1886,9
"70-74","TX",2020-09-21,2122,9
"75-79","TX",2020-09-21,2010,9
"80+","TX",2020-09-21,5512,23
"0-0","TX",2020-09-22,3,0
"1-9","TX",2020-09-22,2,0
"10-19","TX",2020-09-22,11,0
"20-29","TX",2020-09-22,120,0
"30-39","TX",2020-09-22,328,1
"40-49","TX",2020-09-22,895,4
"50-59","TX",2020-09-22,1907,8
"60-64","TX",2020-09-22,1548,6
"65-69","TX",2020-09-22,1893,7
"70-74","TX",2020-09-22,2130,8
"75-79","TX",2020-09-22,2017,7
"80+","TX",2020-09-22,5530,18
"0-0","TX",2020-09-23,3,0
"1-9","TX",2020-09-23,2,0
"10-19","TX",2020-09-23,11,0
"20-29","TX",2020-09-23,120,0
"30-39","TX",2020-09-23,329,1
"40-49","TX",2020-09-23,899,4
"50-59","TX",2020-09-23,1916,9
"60-64","TX",2020-09-23,1554,6
"65-69","TX",2020-09-23,1901,8
"70-74","TX",2020-09-23,2138,8
"75-79","TX",2020-09-23,2025,8
"80+","TX",2020-09-23,5550,20
"0-0","TX",2020-09-24,3,0
"1-9","TX",2020-09-24,2,0
"10-19","TX",2020-09-24,11,0
"20-29","TX",2020-09-24,120,0
"30-39","TX",2020-09-24,330,1
"40-49","TX",2020-09-24,904,5
