"age","cum.deaths","daily.deaths","code","date"
"45-64",4200,1,"NYC",2020-07-20
"65-74",4659,0,"NYC",2020-07-20
"75+",9192,8,"NYC",2020-07-20
"0-17",12,0,"NYC",2020-07-21
"18-44",711,0,"NYC",2020-07-21
"45-64",4214,14,"NYC",2020-07-21
"65-74",4659,0,"NYC",2020-07-21
"75+",9202,10,"NYC",2020-07-21
"0-17",12,0,"NYC",2020-07-22
"18-44",712,1,"NYC",2020-07-22
"45-64",4215,1,"NYC",2020-07-22
"65-74",4659,0,"NYC",2020-07-22
"75+",9203,1,"NYC",2020-07-22
"0-17",12,0,"NYC",2020-07-23
"18-44",712,0,"NYC",2020-07-23
"45-64",4224,9,"NYC",2020-07-23
"65-74",4665,6,"NYC",2020-07-23
"75+",9219,16,"NYC",2020-07-23
"0-17",12,0,"NYC",2020-07-24
"18-44",712,0,"NYC",2020-07-24
"45-64",4224,0,"NYC",2020-07-24
"65-74",4665,0,"NYC",2020-07-24
"75+",9220,1,"NYC",2020-07-24
"0-17",12,0,"NYC",2020-07-25
"18-44",712,0,"NYC",2020-07-25
"45-64",4226,2,"NYC",2020-07-25
"65-74",4669,4,"NYC",2020-07-25
"75+",9227,7,"NYC",2020-07-25
"0-17",12,0,"NYC",2020-07-26
"18-44",712,0,"NYC",2020-07-26
"45-64",4231,5,"NYC",2020-07-26
"65-74",4673,4,"NYC",2020-07-26
"75+",9232,5,"NYC",2020-07-26
"0-17",12,0,"NYC",2020-07-27
"18-44",712,0,"NYC",2020-07-27
"45-64",4234,3,"NYC",2020-07-27
"65-74",4676,3,"NYC",2020-07-27
"75+",9236,4,"NYC",2020-07-27
"0-17",12,0,"NYC",2020-07-28
"18-44",712,0,"NYC",2020-07-28
"45-64",4235,1,"NYC",2020-07-28
"65-74",4678,2,"NYC",2020-07-28
"75+",9239,3,"NYC",2020-07-28
"0-17",12,0,"NYC",2020-07-29
"18-44",713,1,"NYC",2020-07-29
"45-64",4237,2,"NYC",2020-07-29
"65-74",4680,2,"NYC",2020-07-29
"75+",9243,4,"NYC",2020-07-29
"0-17",12,0,"NYC",2020-07-30
"18-44",717,4,"NYC",2020-07-30
"45-64",4240,3,"NYC",2020-07-30
"65-74",4680,0,"NYC",2020-07-30
"75+",9247,4,"NYC",2020-07-30
"0-17",12,0,"NYC",2020-07-31
"18-44",717,0,"NYC",2020-07-31
"45-64",4241,1,"NYC",2020-07-31
"65-74",4684,4,"NYC",2020-07-31
"75+",9250,3,"NYC",2020-07-31
"0-17",12,0,"NYC",2020-08-01
"18-44",717,0,"NYC",2020-08-01
"45-64",4241,0,"NYC",2020-08-01
"65-74",4684,0,"NYC",2020-08-01
"75+",9254,4,"NYC",2020-08-01
"0-17",12,0,"NYC",2020-08-02
"18-44",717,0,"NYC",2020-08-02
"45-64",4241,0,"NYC",2020-08-02
"65-74",4686,2,"NYC",2020-08-02
"75+",9257,3,"NYC",2020-08-02
"0-17",12,0,"NYC",2020-08-03
"18-44",719,2,"NYC",2020-08-03
"45-64",4243,2,"NYC",2020-08-03
"65-74",4689,3,"NYC",2020-08-03
"75+",9262,5,"NYC",2020-08-03
"0-17",12,0,"NYC",2020-08-04
"18-44",720,1,"NYC",2020-08-04
"45-64",4245,2,"NYC",2020-08-04
"65-74",4690,1,"NYC",2020-08-04
"75+",9264,2,"NYC",2020-08-04
"0-17",12,0,"NYC",2020-08-05
"18-44",720,0,"NYC",2020-08-05
"45-64",4245,0,"NYC",2020-08-05
"65-74",4691,1,"NYC",2020-08-05
"75+",9267,3,"NYC",2020-08-05
"0-17",12,0,"NYC",2020-08-06
"18-44",720,0,"NYC",2020-08-06
"45-64",4246,1,"NYC",2020-08-06
"65-74",4692,1,"NYC",2020-08-06
"75+",9267,0,"NYC",2020-08-06
"0-17",12,0,"NYC",2020-08-07
"18-44",720,0,"NYC",2020-08-07
"45-64",4248,2,"NYC",2020-08-07
"65-74",4693,1,"NYC",2020-08-07
"75+",9269,2,"NYC",2020-08-07
"0-17",12,0,"NYC",2020-08-08
"18-44",720,0,"NYC",2020-08-08
"45-64",4251,3,"NYC",2020-08-08
"65-74",4693,0,"NYC",2020-08-08
"75+",9271,2,"NYC",2020-08-08
"0-17",12,0,"NYC",2020-08-09
"18-44",721,1,"NYC",2020-08-09
