"age","cum.deaths","daily.deaths","code","date"
"40-49",46,0,"IN",2020-07-31
"50-59",139,0,"IN",2020-07-31
"60-69",442,1,"IN",2020-07-31
"70-79",680,4,"IN",2020-07-31
"80+",1423,13,"IN",2020-07-31
"0-19",2,0,"IN",2020-08-01
"20-29",9,0,"IN",2020-08-01
"30-39",20,0,"IN",2020-08-01
"40-49",46,0,"IN",2020-08-01
"50-59",141,2,"IN",2020-08-01
"60-69",443,1,"IN",2020-08-01
"70-79",682,2,"IN",2020-08-01
"80+",1424,1,"IN",2020-08-01
"0-19",2,0,"IN",2020-08-02
"20-29",9,0,"IN",2020-08-02
"30-39",20,0,"IN",2020-08-02
"40-49",46,0,"IN",2020-08-02
"50-59",141,0,"IN",2020-08-02
"60-69",444,1,"IN",2020-08-02
"70-79",682,0,"IN",2020-08-02
"80+",1427,3,"IN",2020-08-02
"0-19",2,0,"IN",2020-08-03
"20-29",9,0,"IN",2020-08-03
"30-39",20,0,"IN",2020-08-03
"40-49",46,0,"IN",2020-08-03
"50-59",141,0,"IN",2020-08-03
"60-69",444,0,"IN",2020-08-03
"70-79",685,3,"IN",2020-08-03
"80+",1429,2,"IN",2020-08-03
"0-19",2,0,"IN",2020-08-04
"20-29",9,0,"IN",2020-08-04
"30-39",20,0,"IN",2020-08-04
"40-49",46,0,"IN",2020-08-04
"50-59",143,2,"IN",2020-08-04
"60-69",445,1,"IN",2020-08-04
"70-79",689,4,"IN",2020-08-04
"80+",1436,7,"IN",2020-08-04
"0-19",2,0,"IN",2020-08-05
"20-29",9,0,"IN",2020-08-05
"30-39",20,0,"IN",2020-08-05
"40-49",47,1,"IN",2020-08-05
"50-59",143,0,"IN",2020-08-05
"60-69",445,0,"IN",2020-08-05
"70-79",692,3,"IN",2020-08-05
"80+",1443,7,"IN",2020-08-05
"0-19",2,0,"IN",2020-08-06
"20-29",9,0,"IN",2020-08-06
"30-39",20,0,"IN",2020-08-06
"40-49",48,1,"IN",2020-08-06
"50-59",145,2,"IN",2020-08-06
"60-69",445,0,"IN",2020-08-06
"70-79",694,2,"IN",2020-08-06
"80+",1444,1,"IN",2020-08-06
"0-19",2,0,"IN",2020-08-07
"20-29",9,0,"IN",2020-08-07
"30-39",20,0,"IN",2020-08-07
"40-49",48,0,"IN",2020-08-07
"50-59",145,0,"IN",2020-08-07
