Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
01/06/2021,01/04/2020,01/02/2021,Utah,Male,All Ages,801,11247,863,354,36,1346,
01/06/2021,01/04/2020,01/02/2021,Utah,Male,Under 1 year,0,137,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Utah,Male,0-17 years,0,239,,0,,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Utah,Male,1-4 years,0,20,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Utah,Male,5-14 years,0,39,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Utah,Male,15-24 years,,232,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Utah,Male,18-29 years,,357,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Utah,Male,25-34 years,,391,,,,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Utah,Male,30-49 years,50,1076,48,21,,86,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Utah,Male,35-44 years,26,534,26,11,,47,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Utah,Male,45-54 years,54,730,50,26,,83,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Utah,Male,50-64 years,137,1859,152,69,11,231,
01/06/2021,01/04/2020,01/02/2021,Utah,Male,55-64 years,101,1448,118,52,,175,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Utah,Male,65-74 years,184,2244,209,96,,301,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Utah,Male,75-84 years,230,2724,248,104,,380,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Utah,Male,85 years and over,193,2748,194,62,,329,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Utah,Female,All Ages,500,10023,623,179,18,962,
01/06/2021,01/04/2020,01/02/2021,Utah,Female,Under 1 year,0,113,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Utah,Female,0-17 years,0,177,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Utah,Female,1-4 years,0,12,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Utah,Female,5-14 years,0,32,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Utah,Female,15-24 years,,92,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Utah,Female,18-29 years,,157,,,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Utah,Female,25-34 years,,208,10,,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Utah,Female,30-49 years,26,637,34,10,,51,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Utah,Female,35-44 years,14,319,19,,0,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Utah,Female,45-54 years,23,449,29,,,48,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Utah,Female,50-64 years,58,1228,98,27,,131,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Utah,Female,55-64 years,43,974,80,23,,101,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Utah,Female,65-74 years,100,1621,131,51,,184,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Utah,Female,75-84 years,138,2550,171,51,,262,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Utah,Female,85 years and over,176,3653,178,39,,319,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Utah,Unknown,All Ages,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Utah,Unknown,Under 1 year,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Utah,Unknown,0-17 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Utah,Unknown,1-4 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Utah,Unknown,5-14 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Utah,Unknown,15-24 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Utah,Unknown,18-29 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Utah,Unknown,25-34 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Utah,Unknown,30-49 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Utah,Unknown,35-44 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Utah,Unknown,45-54 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Utah,Unknown,50-64 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Utah,Unknown,55-64 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Utah,Unknown,65-74 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Utah,Unknown,75-84 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Utah,Unknown,85 years and over,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Vermont,All Sexes,All Ages,108,5986,276,24,18,378,
01/06/2021,01/04/2020,01/02/2021,Vermont,Male,All Ages,53,3115,154,16,10,201,
01/06/2021,01/04/2020,01/02/2021,Vermont,Male,Under 1 year,0,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Vermont,Male,0-17 years,0,20,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Vermont,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Vermont,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Vermont,Male,15-24 years,0,31,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Vermont,Male,18-29 years,0,54,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Vermont,Male,25-34 years,0,79,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Vermont,Male,30-49 years,,218,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Vermont,Male,35-44 years,,100,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Vermont,Male,45-54 years,,184,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Vermont,Male,50-64 years,,559,17,,,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Vermont,Male,55-64 years,,444,12,,,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Vermont,Male,65-74 years,,669,32,,,42,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Vermont,Male,75-84 years,22,783,47,,,67,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Vermont,Male,85 years and over,15,812,55,,,66,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Vermont,Female,All Ages,55,2871,122,,,177,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Vermont,Female,Under 1 year,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Vermont,Female,0-17 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Vermont,Female,1-4 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Vermont,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Vermont,Female,15-24 years,0,12,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Vermont,Female,18-29 years,0,26,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Vermont,Female,25-34 years,0,29,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Vermont,Female,30-49 years,,117,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Vermont,Female,35-44 years,,63,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Vermont,Female,45-54 years,,97,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Vermont,Female,50-64 years,0,309,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Vermont,Female,55-64 years,0,251,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Vermont,Female,65-74 years,,445,17,,,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Vermont,Female,75-84 years,18,698,34,,,51,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Vermont,Female,85 years and over,28,1267,63,,,91,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Vermont,Unknown,All Ages,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Vermont,Unknown,Under 1 year,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Vermont,Unknown,0-17 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Vermont,Unknown,1-4 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Vermont,Unknown,5-14 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Vermont,Unknown,15-24 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Vermont,Unknown,18-29 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Vermont,Unknown,25-34 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Vermont,Unknown,30-49 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Vermont,Unknown,35-44 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Vermont,Unknown,45-54 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Vermont,Unknown,50-64 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Vermont,Unknown,55-64 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Vermont,Unknown,65-74 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Vermont,Unknown,75-84 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Vermont,Unknown,85 years and over,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Virginia,All Sexes,All Ages,5088,75528,4897,1923,153,8207,
01/06/2021,01/04/2020,01/02/2021,Virginia,Male,All Ages,2629,38837,2643,1103,84,4248,
01/06/2021,01/04/2020,01/02/2021,Virginia,Male,Under 1 year,0,256,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Virginia,Male,0-17 years,0,454,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Virginia,Male,1-4 years,0,42,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Virginia,Male,5-14 years,0,74,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Virginia,Male,15-24 years,,612,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Virginia,Male,18-29 years,,1043,16,,,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Virginia,Male,25-34 years,13,1127,22,,,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Virginia,Male,30-49 years,103,3110,103,49,,163,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Virginia,Male,35-44 years,39,1498,42,16,,70,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Virginia,Male,45-54 years,130,2567,127,62,,201,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Virginia,Male,50-64 years,426,7589,454,203,20,697,
01/06/2021,01/04/2020,01/02/2021,Virginia,Male,55-64 years,349,6020,377,170,15,571,
01/06/2021,01/04/2020,01/02/2021,Virginia,Male,65-74 years,600,8516,632,275,23,978,
01/06/2021,01/04/2020,01/02/2021,Virginia,Male,75-84 years,773,9615,785,330,15,1242,
01/06/2021,01/04/2020,01/02/2021,Virginia,Male,85 years and over,721,8510,650,243,16,1142,
01/06/2021,01/04/2020,01/02/2021,Virginia,Female,All Ages,2458,36687,2253,819,69,3958,
01/06/2021,01/04/2020,01/02/2021,Virginia,Female,Under 1 year,0,233,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Virginia,Female,0-17 years,0,358,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Virginia,Female,1-4 years,0,39,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Virginia,Female,5-14 years,0,45,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Virginia,Female,15-24 years,,204,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Virginia,Female,18-29 years,,364,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Virginia,Female,25-34 years,,489,15,,,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Virginia,Female,30-49 years,51,1730,69,19,,104,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Virginia,Female,35-44 years,26,814,36,13,,51,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Virginia,Female,45-54 years,71,1676,83,25,,132,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Virginia,Female,50-64 years,239,4924,325,111,19,472,
01/06/2021,01/04/2020,01/02/2021,Virginia,Female,55-64 years,186,3876,262,88,17,377,
01/06/2021,01/04/2020,01/02/2021,Virginia,Female,65-74 years,422,6369,458,192,,695,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Virginia,Female,75-84 years,653,9220,594,230,15,1030,
01/06/2021,01/04/2020,01/02/2021,Virginia,Female,85 years and over,1091,13722,795,265,20,1640,
01/06/2021,01/04/2020,01/02/2021,Virginia,Unknown,All Ages,,,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Virginia,Unknown,Under 1 year,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Virginia,Unknown,0-17 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Virginia,Unknown,1-4 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Virginia,Unknown,5-14 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Virginia,Unknown,15-24 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Virginia,Unknown,18-29 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Virginia,Unknown,25-34 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Virginia,Unknown,30-49 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Virginia,Unknown,35-44 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Virginia,Unknown,45-54 years,,,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Virginia,Unknown,50-64 years,,,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Virginia,Unknown,55-64 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Virginia,Unknown,65-74 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Virginia,Unknown,75-84 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Virginia,Unknown,85 years and over,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Washington,All Sexes,All Ages,3109,60570,4633,1639,159,6257,
01/06/2021,01/04/2020,01/02/2021,Washington,Male,All Ages,1672,31739,2554,940,92,3376,
01/06/2021,01/04/2020,01/02/2021,Washington,Male,Under 1 year,0,187,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Washington,Male,0-17 years,0,348,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Washington,Male,1-4 years,0,35,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Washington,Male,5-14 years,0,61,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Washington,Male,15-24 years,,496,,,,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Washington,Male,18-29 years,,862,19,,,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Washington,Male,25-34 years,,883,23,,,30,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Washington,Male,30-49 years,62,2358,100,34,,136,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Washington,Male,35-44 years,31,1154,50,14,,70,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Washington,Male,45-54 years,76,1981,121,45,,158,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Washington,Male,50-64 years,252,5788,419,160,23,533,
01/06/2021,01/04/2020,01/02/2021,Washington,Male,55-64 years,203,4559,338,132,20,428,
01/06/2021,01/04/2020,01/02/2021,Washington,Male,65-74 years,376,7087,664,216,26,850,
01/06/2021,01/04/2020,01/02/2021,Washington,Male,75-84 years,464,7768,679,260,14,897,
01/06/2021,01/04/2020,01/02/2021,Washington,Male,85 years and over,510,7528,666,264,14,926,
01/06/2021,01/04/2020,01/02/2021,Washington,Female,All Ages,1437,28829,2079,699,67,2881,
01/06/2021,01/04/2020,01/02/2021,Washington,Female,Under 1 year,0,158,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Washington,Female,0-17 years,,257,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Washington,Female,1-4 years,0,23,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Washington,Female,5-14 years,,47,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Washington,Female,15-24 years,,159,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Washington,Female,18-29 years,,279,11,,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Washington,Female,25-34 years,,350,15,,,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Washington,Female,30-49 years,31,1280,67,22,,85,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Washington,Female,35-44 years,15,620,28,,,38,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Washington,Female,45-54 years,41,1244,95,26,,113,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Washington,Female,50-64 years,137,3721,306,77,13,379,
01/06/2021,01/04/2020,01/02/2021,Washington,Female,55-64 years,111,2936,242,63,12,302,
01/06/2021,01/04/2020,01/02/2021,Washington,Female,65-74 years,260,5186,413,152,10,531,
01/06/2021,01/04/2020,01/02/2021,Washington,Female,75-84 years,386,6872,520,206,19,717,
01/06/2021,01/04/2020,01/02/2021,Washington,Female,85 years and over,616,11234,756,239,14,1146,
01/06/2021,01/04/2020,01/02/2021,Washington,Unknown,All Ages,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Washington,Unknown,Under 1 year,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Washington,Unknown,0-17 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Washington,Unknown,1-4 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Washington,Unknown,5-14 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Washington,Unknown,15-24 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Washington,Unknown,18-29 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Washington,Unknown,25-34 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Washington,Unknown,30-49 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Washington,Unknown,35-44 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Washington,Unknown,45-54 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,Washington,Unknown,50-64 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Washington,Unknown,55-64 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Washington,Unknown,65-74 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Washington,Unknown,75-84 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,Washington,Unknown,85 years and over,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,West Virginia,All Sexes,All Ages,883,20649,1676,384,68,2243,
01/06/2021,01/04/2020,01/02/2021,West Virginia,Male,All Ages,447,10996,891,217,37,1158,
01/06/2021,01/04/2020,01/02/2021,West Virginia,Male,Under 1 year,0,60,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,West Virginia,Male,0-17 years,0,101,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,West Virginia,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,West Virginia,Male,5-14 years,0,21,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,West Virginia,Male,15-24 years,0,109,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
